"Time"	"RR_Fx"	"RR_Fy"	"RR_Fz"	"RR_Mx"	"RR_My"	"RR_Mz"	"RR_Wheel Speed"	"RR_Position"	"RR_Ax"	"RR_Ay"	"RR_Az"
0.166	-29.296875	14.6484375	-96.43554688	-5.126953125	-0.1831054688	1.098632813	0	330.2819824	0.5126953125	0.003051757813	0.9643554688
0.168	-17.08984375	-1.220703125	-103.7597656	-3.845214844	-0.3662109375	2.9296875	0	330.2819824	0.5645751953	0.1800537109	0.9826660156
0.17	-7.32421875	-4.8828125	-112.3046875	-2.197265625	-0.3662109375	3.112792969	0	330.2819824	0.4211425781	0.2014160156	0.9094238281
0.172	-9.765625	-4.8828125	-114.7460938	-1.647949219	-0.3662109375	2.563476563	0	330.2819824	0.1312255859	0.07934570313	0.8941650391
0.174	-13.42773438	-3.662109375	-117.1875	-1.281738281	-0.3662109375	2.380371094	0	330.2819824	-0.0244140625	0.01220703125	0.9338378906
0.176	-12.20703125	0.6103515625	-114.7460938	-2.197265625	-0.3662109375	2.014160156	0	330.2819824	0.06713867188	-0.06713867188	1.04675293
0.178	-8.544921875	4.8828125	-113.5253906	-3.295898438	-0.1831054688	1.647949219	0	330.2819824	0.2563476563	-0.09765625	1.113891602
0.18	-10.98632813	9.765625	-107.421875	-4.577636719	-0.1831054688	0.732421875	0	330.2819824	0.4364013672	-0.07019042969	1.062011719
0.182	-26.85546875	8.544921875	-93.99414063	-5.859375	-0.1831054688	-0.732421875	0	330.2819824	0.4638671875	0.06103515625	0.8880615234
0.184	-46.38671875	9.765625	-76.90429688	-6.591796875	0	-2.014160156	0	330.2819824	0.3387451172	0.1708984375	0.6774902344
0.186	-47.60742188	18.92089844	-68.359375	-6.774902344	0	-2.197265625	0	330.2819824	0.2044677734	0.1098632813	0.6195068359
0.188	-32.95898438	17.08984375	-86.66992188	-5.676269531	0	-2.380371094	0	330.2819824	0.2014160156	0.1159667969	0.7049560547
0.19	-20.75195313	15.86914063	-114.7460938	-4.577636719	0	-1.647949219	0	330.2819824	0.2502441406	0.08544921875	0.9429931641
