"Time","RR_Fx","RR_Fy","RR_Fz","RR_Mx","RR_My","RR_Mz","RR_Wheel,Speed","RR_Position","RR_Ax","RR_Ay","RR_Az"
0.246,-169.6777344,245.9716797,706.7871094,-89.53857422,-82.58056641,-6.225585938,-4.852294922,132.3083496,-0.3448486328,0.01831054688,1.239013672
0.248,-190.4296875,243.5302734,715.3320313,-89.72167969,-82.21435547,-7.32421875,-4.852294922,132.3742676,-0.1586914063,-0.04272460938,1.010131836
0.25,-207.5195313,234.9853516,722.65625,-88.98925781,-81.84814453,-6.958007813,-4.821777344,132.4401855,0.05187988281,0,0.8178710938
0.252,-225.8300781,234.9853516,725.0976563,-88.62304688,-81.29882813,-6.042480469,-4.791259766,132.5170898,0.09765625,0.07019042969,0.8148193359
0.254,-246.5820313,250.8544922,731.2011719,-88.62304688,-80.74951172,-4.760742188,-5.126953125,132.5280762,0.01831054688,-0.08544921875,0.9582519531
0.256,-261.2304688,261.8408203,733.6425781,-87.52441406,-80.38330078,-3.479003906,-2.197265625,132.5720215,0.003051757813,-0.1647949219,0.9613037109
0.258,-263.671875,269.1650391,728.7597656,-85.32714844,-80.01708984,-1.098632813,0.6408691406,132.6269531,0.2136230469,-0.1220703125,0.830078125
0.26,-261.2304688,269.7753906,722.65625,-83.67919922,-80.01708984,1.281738281,0.3051757813,132.5830078,0.5187988281,-0.03356933594,0.7537841797
0.262,-258.7890625,271.6064453,723.8769531,-83.49609375,-79.83398438,2.9296875,0.3356933594,132.5280762,0.7385253906,-0.01220703125,0.87890625
0.264,-255.1269531,275.8789063,725.0976563,-84.22851563,-79.83398438,3.479003906,0.3051757813,132.5280762,0.7415771484,-0.06713867188,1.068115234
0.266,-247.8027344,283.203125,723.8769531,-84.9609375,-80.01708984,3.295898438,0.5493164063,132.4621582,0.6286621094,-0.2899169922,1.095581055
0.268,-242.9199219,277.0996094,722.65625,-85.69335938,-80.56640625,2.746582031,-0.4577636719,132.4291992,0.5401611328,-0.3051757813,1.000976563
0.27,-233.1542969,256.9580078,722.65625,-86.60888672,-81.11572266,2.563476563,-4.333496094,132.3632813,0.5310058594,-0.1190185547,0.9460449219
